@relation 'contraceptive-weka.filters.unsupervised.attribute.Remove-V-R1,7,10'

@attribute Wife_age numeric
@attribute Husband_occupation numeric
@attribute Contraceptive_method {1,2,3}

@data
24,2,1
26,4,1
48,2,1
37,2,1
24,3,1
39,1,1
42,3,1
45,2,1
26,1,1
27,1,1
47,1,1
26,2,1
22,1,1
21,1,1
34,3,1
36,3,1
35,3,1
45,2,1
47,2,1
40,3,1
37,2,1
25,3,1
32,3,1
25,2,1
42,3,1
42,2,1
43,3,1
32,1,1
20,2,1
39,3,1
34,1,1
34,1,1
36,3,1
35,2,1
21,2,1
35,3,1
21,3,1
47,1,1
25,2,1
42,2,1
23,2,1
25,2,1
28,3,1
48,2,1
46,2,1
32,1,2
35,1,2
36,1,2
34,1,2
44,2,2
19,2,2
38,3,2
23,3,2
25,2,2
37,3,2
32,3,2
26,3,2
41,1,2
41,1,2
37,3,2
25,4,2
39,1,2
35,2,2
27,1,2
46,1,2
39,1,2
45,1,2
27,3,3
28,2,3
30,2,3
29,3,3
29,1,3
25,1,3
32,3,3
26,3,3
43,3,3
34,3,3
24,3,3
32,1,3
29,3,3
37,3,3
35,1,3
24,2,3
34,1,3
20,1,3
30,2,3
30,3,3
28,2,3
27,3,3
33,3,3
29,3,3
26,3,3
28,2,3
33,2,3
30,3,3
30,4,3
35,2,3
29,3,3
27,3,3
35,4,3
32,1,3
22,3,3
31,1,3
29,3,3
31,4,3
26,2,3
25,3,3
25,3,1
38,1,1
41,2,1
48,1,1
37,1,1
24,3,1
45,2,1
36,2,1
35,3,1
27,2,1
24,3,1
24,2,1
23,3,1
27,3,1
30,2,1
32,1,1
26,3,1
20,3,1
45,1,2
26,2,2
38,1,2
29,1,2
35,2,2
30,3,2
32,2,2
41,2,2
31,4,2
34,3,2
34,3,2
46,3,3
29,3,3
33,1,3
33,2,3
36,3,3
34,3,3
22,3,3
21,3,3
32,1,3
28,2,3
22,2,3
