@relation 'contraceptive-weka.filters.unsupervised.attribute.Remove-V-R4,7,10'

@attribute Children numeric
@attribute Husband_occupation numeric
@attribute Contraceptive_method {1,2,3}

@data
3,2,1
0,4,1
7,2,1
8,2,1
0,3,1
1,1,1
3,3,1
0,2,1
1,1,1
4,1,1
3,1,1
4,2,1
0,1,1
1,1,1
3,3,1
2,3,1
2,3,1
4,2,1
4,2,1
1,3,1
1,2,1
2,3,1
0,3,1
1,2,1
12,3,1
11,2,1
8,3,1
4,1,1
1,2,1
5,3,1
2,1,1
2,1,1
2,3,1
0,2,1
0,2,1
2,3,1
1,3,1
1,1,1
0,2,1
3,2,1
2,2,1
1,2,1
1,3,1
8,2,1
3,2,1
2,1,2
5,1,2
4,1,2
3,1,2
4,2,2
1,2,2
6,3,2
3,3,2
2,2,2
7,3,2
3,3,2
2,3,2
4,1,2
5,1,2
5,3,2
1,4,2
3,1,2
3,2,2
2,1,2
3,1,2
5,1,2
4,1,2
5,3,3
4,2,3
4,2,3
3,3,3
5,1,3
3,1,3
4,3,3
4,3,3
5,3,3
4,3,3
2,3,3
2,1,3
5,3,3
4,3,3
4,1,3
2,2,3
3,1,3
2,1,3
3,2,3
4,3,3
2,2,3
3,3,3
2,3,3
4,3,3
3,3,3
5,2,3
4,2,3
2,3,3
2,4,3
5,2,3
4,3,3
4,3,3
4,4,3
3,1,3
3,3,3
3,1,3
3,3,3
3,4,3
5,2,3
4,3,3
2,3,1
3,1,1
1,2,1
4,1,1
2,1,1
2,3,1
0,2,1
2,2,1
8,3,1
4,2,1
2,3,1
2,2,1
4,3,1
0,3,1
4,2,1
3,1,1
3,3,1
0,3,1
3,1,2
3,2,2
4,1,2
3,1,2
5,2,2
5,3,2
5,2,2
3,2,2
4,4,2
4,3,2
3,3,2
4,3,3
2,3,3
2,1,3
3,2,3
5,3,3
3,3,3
2,3,3
3,3,3
5,1,3
1,2,3
1,2,3
