@relation 'contraceptive-weka.filters.unsupervised.attribute.Remove-V-R1,7,10'

@attribute Wife_age numeric
@attribute Husband_occupation numeric
@attribute Contraceptive_method {1,2,3}

@data
28,2,1
47,1,1
49,2,1
20,2,1
49,1,1
20,2,1
22,2,1
24,3,1
46,1,1
41,2,1
17,3,1
26,3,1
44,3,1
48,3,1
22,2,1
22,3,1
25,3,1
27,3,1
22,3,1
26,3,1
31,3,1
45,2,1
28,3,1
23,2,1
29,4,1
23,3,1
40,3,1
36,3,1
28,2,1
40,3,1
45,1,1
28,1,1
25,2,1
35,3,1
23,3,1
49,3,1
44,1,1
19,2,1
42,3,1
46,1,2
46,1,2
32,1,2
33,3,2
35,3,2
35,1,2
32,1,2
25,3,2
45,2,2
28,1,2
35,3,2
47,1,2
24,1,2
17,2,2
42,1,2
35,3,2
37,1,2
47,3,2
41,1,2
29,3,3
27,1,3
27,3,3
43,1,3
35,2,3
37,2,3
34,1,3
27,2,3
29,3,3
22,2,3
30,3,3
19,2,3
34,2,3
31,3,3
23,3,3
28,2,3
38,2,3
38,2,3
25,3,3
26,2,3
34,3,3
28,3,3
26,3,3
22,3,3
28,3,3
23,3,3
39,3,3
47,1,3
26,1,3
36,3,3
37,4,3
45,1,3
33,2,3
23,1,1
38,2,1
47,3,1
43,2,1
33,3,1
49,3,1
37,3,1
25,1,1
25,2,1
39,2,1
31,3,1
25,3,1
45,3,1
34,3,1
48,1,1
48,1,1
45,1,1
25,3,1
31,2,1
36,2,1
41,2,1
25,2,1
34,2,1
26,3,1
42,1,2
40,1,2
26,1,2
27,1,2
34,2,2
21,1,2
24,2,2
34,3,2
41,2,2
33,1,2
41,2,2
36,1,2
37,2,2
34,3,2
41,1,2
17,3,3
44,2,3
21,3,3
25,2,3
24,3,3
32,2,3
22,3,3
36,2,3
25,2,3
30,3,3
36,3,3
28,3,3
47,3,3
44,3,3
24,1,3
30,3,3
36,3,3
35,3,3
