@relation 'contraceptive-weka.filters.unsupervised.attribute.Remove-V-R1-2,4,10'

@attribute Wife_age numeric
@attribute Wife_education numeric
@attribute Children numeric
@attribute Contraceptive_method {1,2,3}

@data
31,4,2,1
31,4,0,1
40,3,8,1
34,4,1,1
36,2,5,1
37,3,7,1
30,2,3,1
28,4,0,1
19,2,0,1
45,4,1,1
44,3,1,1
43,1,2,1
28,3,1,1
47,4,1,1
41,4,2,1
35,4,2,1
45,1,5,1
45,2,2,1
49,2,10,1
44,1,11,1
36,3,6,1
36,2,2,1
21,3,0,1
46,3,11,1
33,4,5,1
35,1,0,1
24,4,1,1
47,4,2,1
29,1,7,1
24,2,2,1
30,3,5,1
44,1,4,1
28,3,3,1
22,2,4,1
38,3,5,1
39,3,3,1
38,2,5,1
33,4,5,1
25,2,6,2
30,4,2,2
26,2,2,2
37,4,3,2
37,4,8,2
39,4,5,2
31,4,3,2
26,4,1,2
35,4,2,2
30,4,4,2
33,4,3,2
35,3,6,2
36,3,6,2
27,3,1,2
44,4,7,2
42,3,4,2
44,4,5,2
40,4,6,2
45,4,3,2
40,3,2,2
30,3,7,2
30,3,2,2
32,4,2,2
17,2,1,3
30,2,4,3
26,2,3,3
42,4,7,3
21,2,1,3
32,4,4,3
25,1,2,3
32,4,2,3
23,3,1,3
26,3,4,3
33,3,4,3
25,4,1,3
37,4,3,3
33,4,2,3
44,3,5,3
19,4,2,3
30,3,3,3
29,2,5,3
21,3,1,3
25,3,3,3
32,2,4,3
38,2,3,3
22,3,1,3
29,3,3,3
38,3,7,3
32,1,4,3
29,4,3,3
27,4,2,3
28,3,2,3
33,3,6,3
35,4,2,3
28,4,2,3
32,3,4,3
20,3,1,3
22,1,2,3
41,3,11,1
23,2,2,1
26,2,3,1
35,4,1,1
32,2,1,1
27,1,4,1
42,4,1,1
43,4,6,1
22,4,0,1
46,1,8,1
30,1,1,1
47,1,7,1
48,3,5,1
45,3,0,1
38,1,6,1
45,3,0,1
35,4,3,1
18,3,1,1
21,4,1,1
43,4,5,1
22,2,1,1
48,3,8,1
29,3,1,1
42,4,0,1
47,1,2,1
32,4,4,2
25,4,1,2
35,2,4,2
23,4,1,2
22,3,2,2
26,3,3,2
32,4,2,2
33,3,2,2
38,4,3,2
34,1,5,2
24,4,1,3
28,2,3,3
33,3,4,3
37,4,1,3
31,1,4,3
36,1,4,3
30,3,3,3
25,3,2,3
34,4,2,3
42,4,5,3
21,2,0,3
22,4,2,3
45,2,3,3
19,4,1,3
26,3,4,3
33,3,4,3
